Round,Alive Nodes
1,7617
2,6607
3,6093
4,5713
5,5384
6,5162
7,4964
8,4815
9,4652
10,4541
11,4406
12,4298
13,4203
14,4131
15,4048
16,3998
17,3941
18,3881
19,3820
20,3768
21,3715
22,3657
23,3620
24,3574
25,3529
26,3499
27,3458
28,3434
29,3410
30,3383
31,3343
32,3307
33,3271
34,3244
35,3218
36,3197
37,3180
38,3141
39,3123
40,3096
41,3080
42,3053
43,3040
44,3025
45,3014
46,2994
47,2970
48,2938
49,2920
50,2895
51,2871
52,2852
53,2828
54,2812
55,2799
56,2783
57,2770
58,2755
59,2743
60,2726
61,2713
62,2697
63,2689
64,2662
65,2647
66,2629
67,2608
68,2586
69,2570
70,2558
71,2545
72,2525
73,2517
74,2507
75,2504
76,2496
77,2483
78,2476
79,2467
80,2453
81,2442
82,2426
83,2419
84,2407
85,2400
86,2392
87,2385
88,2377
89,2369
90,2361
91,2352
92,2343
93,2335
94,2326
95,2314
96,2301
97,2291
98,2280
99,2272
100,2260
101,2249
102,2244
103,2236
104,2231
105,2223
106,2217
107,2209
108,2201
109,2193
110,2184
111,2173
112,2165
113,2159
114,2149
115,2139
116,2127
117,2121
118,2112
119,2107
120,2102
121,2092
122,2085
123,2074
124,2068
125,2058
126,2052
127,2038
128,2032
129,2029
130,2024
131,2013
132,2007
133,2001
134,1994
135,1984
136,1980
137,1973
138,1961
139,1957
140,1948
141,1944
142,1934
143,1930
144,1922
145,1915
146,1905
147,1900
148,1896
149,1889
150,1882
151,1878
152,1873
153,1866
154,1854
155,1845
156,1840
157,1834
158,1832
159,1826
160,1817
161,1809
162,1807
163,1803
164,1799
165,1797
166,1791
167,1787
168,1775
169,1773
170,1769
171,1765
172,1758
173,1756
174,1754
175,1751
176,1746
177,1735
178,1729
179,1726
180,1712
181,1706
182,1701
183,1699
184,1694
185,1685
186,1679
187,1671
188,1664
189,1656
190,1651
191,1644
192,1641
193,1631
194,1628
195,1620
196,1616
197,1615
198,1612
199,1601
200,1596
201,1593
202,1592
203,1581
204,1570
205,1567
206,1557
207,1553
208,1547
209,1542
210,1536
211,1533
212,1527
213,1520
214,1518
215,1513
216,1510
217,1504
218,1504
219,1499
220,1493
221,1485
222,1483
223,1480
224,1472
225,1467
226,1466
227,1462
228,1458
229,1453
230,1446
231,1445
232,1437
233,1434
234,1429
235,1426
236,1422
237,1416
238,1404
239,1398
240,1392
241,1385
242,1380
243,1374
244,1369
245,1367
246,1362
247,1358
248,1354
249,1343
250,1335
251,1327
252,1321
253,1315
254,1311
255,1305
256,1300
257,1295
258,1287
259,1283
260,1277
261,1274
262,1266
263,1260
264,1255
265,1249
266,1243
267,1241
268,1235
269,1231
270,1223
271,1218
272,1214
273,1209
274,1202
275,1198
276,1193
277,1187
278,1181
279,1176
280,1170
281,1167
282,1163
283,1159
284,1154
285,1148
286,1144
287,1143
288,1138
289,1131
290,1128
291,1125
292,1117
293,1116
294,1111
295,1107
296,1104
297,1100
298,1095
299,1092
300,1085
301,1081
302,1077
303,1072
304,1069
305,1066
306,1064
307,1062
308,1061
309,1057
310,1053
311,1048
312,1046
313,1043
314,1040
315,1038
316,1034
317,1028
318,1026
319,1026
320,1024
321,1023
322,1021
323,1018
324,1016
325,1009
326,1003
327,1001
328,1000
329,999
330,999
331,998
332,996
333,994
334,991
335,989
336,987
337,984
338,982
339,981
340,980
341,975
342,974
343,971
344,966
345,961
346,958
347,956
348,953
349,952
350,950
351,949
352,947
353,945
354,944
355,943
356,938
357,935
358,933
359,930
360,930
361,929
362,927
363,924
364,924
365,921
366,919
367,916
368,916
369,914
370,912
371,908
372,908
373,905
374,904
375,902
376,901
377,898
378,897
379,896
380,894
381,891
382,890
383,890
384,888
385,887
386,885
387,883
388,880
389,879
390,878
391,876
392,876
393,874
394,873
395,871
396,870
397,868
398,864
399,861
400,858
401,857
402,856
403,851
404,848
405,847
406,846
407,842
408,836
409,835
410,834
411,833
412,832
413,832
414,829
415,828
416,827
417,826
418,825
419,822
420,819
421,817
422,816
423,815
424,814
425,812
426,812
427,810
428,808
429,806
430,804
431,802
432,801
433,796
434,795
435,794
436,791
437,791
438,787
439,786
440,784
441,779
442,778
443,774
444,771
445,770
446,770
447,770
448,766
449,766
450,764
451,761
452,758
453,757
454,755
455,754
456,749
457,748
458,747
459,744
460,743
461,741
462,740
463,739
464,733
465,727
466,726
467,725
468,723
469,722
470,719
471,716
472,715
473,714
474,714
475,711
476,710
477,709
478,706
479,703
480,702
481,702
482,701
483,700
484,698
485,697
486,697
487,695
488,695
489,691
490,689
491,686
492,684
493,682
494,680
495,679
496,677
497,676
498,675
499,673
500,672
501,672
502,672
503,671
504,670
505,670
506,669
507,668
508,666
509,663
510,662
511,662
512,660
513,659
514,658
515,657
516,654
517,654
518,653
519,652
520,652
521,651
522,648
523,647
524,647
525,644
526,644
527,642
528,642
529,638
530,638
531,637
532,636
533,635
534,634
535,634
536,631
537,631
538,630
539,630
540,630
541,629
542,629
543,629
544,629
545,628
546,628
547,628
548,626
549,625
550,624
551,620
552,618
553,616
554,614
555,610
556,609
557,609
558,607
559,605
560,604
561,604
562,603
563,602
564,599
565,598
566,598
567,597
568,597
569,596
570,595
571,593
572,591
573,591
574,590
575,590
576,590
577,588
578,586
579,586
580,586
581,586
582,585
583,585
584,585
585,585
586,584
587,582
588,582
589,582
590,582
591,581
592,580
593,580
594,580
595,576
596,575
597,575
598,574
599,574
600,571
601,571
602,571
603,570
604,570
605,569
606,569
607,569
608,568
609,568
610,568
611,567
612,565
613,565
614,564
615,563
616,563
617,563
618,563
619,562
620,561
621,559
622,559
623,556
624,555
625,554
626,553
627,553
628,552
629,552
630,551
631,551
632,550
633,549
634,547
635,546
636,545
637,543
638,542
639,542
640,541
641,540
642,540
643,540
644,540
645,538
646,538
647,538
648,537
649,534
650,532
651,532
652,532
653,531
654,531
655,527
656,527
657,525
658,524
659,523
660,522
661,521
662,521
663,521
664,520
665,520
666,520
667,519
668,519
669,519
670,519
671,518
672,518
673,517
674,515
675,515
676,515
677,514
678,513
679,513
680,513
681,512
682,512
683,512
684,512
685,512
686,511
687,511
688,510
689,509
690,508
691,508
692,508
693,508
694,507
695,505
696,505
697,504
698,504
699,503
700,502
701,501
702,501
703,501
704,500
705,499
706,497
707,496
708,496
709,496
710,494
711,492
712,491
713,491
714,490
715,490
716,489
717,489
718,488
719,488
720,488
721,487
722,486
723,486
724,486
725,484
726,484
727,484
728,484
729,482
730,481
731,480
732,480
733,479
734,477
735,476
736,475
737,475
738,475
739,474
740,473
741,473
742,471
743,471
744,469
745,469
746,469
747,469
748,469
749,469
750,469
751,469
752,469
753,468
754,468
755,467
756,467
757,467
758,465
759,465
760,465
761,465
762,464
763,464
764,464
765,463
766,463
767,462
768,462
769,462
770,461
771,461
772,461
773,461
774,461
775,461
776,460
777,460
778,460
779,459
780,459
781,456
782,455
783,454
784,453
785,451
786,450
787,450
788,449
789,448
790,448
791,448
792,446
793,446
794,443
795,443
796,443
797,443
798,442
799,442
800,441
801,439
802,438
803,436
804,436
805,436
806,435
807,435
808,435
809,434
810,434
811,434
812,434
813,433
814,433
815,432
816,431
817,430
818,429
819,429
820,429
821,428
822,428
823,428
824,427
825,425
826,424
827,424
828,424
829,424
830,424
831,423
832,423
833,422
834,422
835,422
836,422
837,421
838,421
839,420
840,418
841,417
842,417
843,417
844,417
845,417
846,414
847,414
848,414
849,412
850,412
851,412
852,412
853,412
854,412
855,410
856,410
857,409
858,409
859,409
860,409
861,409
862,409
863,409
864,409
865,409
866,409
867,409
868,409
869,409
870,407
871,404
872,404
873,404
874,403
875,401
876,401
877,401
878,400
879,400
880,400
881,400
882,399
883,398
884,393
885,392
886,392
887,392
888,392
889,390
890,390
891,389
892,389
893,389
894,389
895,389
896,389
897,389
898,389
899,388
900,388
901,388
902,388
903,388
904,388
905,387
906,386
907,385
908,385
909,385
910,384
911,384
912,383
913,382
914,382
915,381
916,380
917,379
918,379
919,379
920,379
921,378
922,378
923,378
924,378
925,377
926,377
927,376
928,375
929,375
930,375
931,373
932,373
933,373
934,373
935,371
936,371
937,370
938,369
939,369
940,367
941,367
942,367
943,366
944,365
945,365
946,365
947,365
948,364
949,364
950,362
951,361
952,361
953,361
954,361
955,361
956,359
957,359
958,359
959,359
960,357
961,356
962,355
963,355
964,354
965,353
966,353
967,353
968,352
969,351
970,351
971,350
972,350
973,350
974,350
975,350
976,350
977,349
978,349
979,349
980,349
981,348
982,348
983,346
984,346
985,346
986,346
987,345
988,345
989,345
990,345
991,344
992,343
993,342
994,342
995,342
996,342
997,340
998,339
999,338
1000,336
